64bwyta64	bwytaont
216anghofio216	anghofiwn ni
217teimlo217	teimli
218darllen218	darllenais
219cusanu219	cusenir
220condemnio220	condemniasom
221teimlo221	teimlent
222adwthio222	adwthia
223lladd223	lladder
224dweud224	dywedais
225defnyddio225	defnyddiasant
226ysgrifennu226	ysgrifenasent
227sylwebu227	sylwebi
228golchi228	golchit
229braenu229	braenedig
230nyddu230	nyddaist
231ystyried231	ystyri di
232gafael232	gafaelwch
233canlyn233	canlynasem
234ymolchi234	ymolchith o
235lleihau235	lleihaf
236rhodio236	rhodiasai
237darparu237	darparedig
238mwynhau238	mwynheuaist ti
239hedfan239	hedfanen ni
240sefyll240	safasit
241gweld241	gwelech chi
242cynnig242	cynigio
243sefyll243	safan nhw
244rhoi244	rhoer
245gadael245	gadawoch chi
246ysmygu246	ysmyger
247iro247	iren nhw
248gwylio248	gwyli
249canu249	canasech
250medru250	medrem
251mwynhau251	mwynhaer
252syrthio252	syrthiedig
253peidio253	peidiodd o
254methu254	methedig
255gorffen255	gorffennid
256disgyn256	disgynith o
257clywed257	clywyf
258yfed258	yfaf
259cysylltu259	cysylltwn
260galw260	galwer
261coginio261	coginiaf
262golchi262	golchai fo
263darlunio263	darluniem
264darllen264	darllenodd o
265casáu265	casasoch
266coelio266	coelion ni
267croeshoelio267	croeshoeliasid
268tacluso268	taclusi
269tacluso269	taclusith o
270gafael270	gafaelais i
271taro271	taro
272hedfan272	hedfanwch
273braenu273	braenent
274addo274	addawo
275nyddu275	nydda
276eistedd276	eisteddwch chi
277croesi277	croeset ti
278croesholi278	croesholaswn
279eistedd279	eisteddaist ti
280gwlychu280	gwlych
281agor281	agoren ni
282llenydda282	llenyddi
283diolch283	diolcha
284coelio284	coeliaist
285darlunio285	darluniodd o
286medru286	medran nhw
287gallu287	gallom
288deall288	dealled
289hedfan289	hedfanasid
290condemnio290	condemniasid
291croesi291	croesient
292swyno292	swynid
293ymolchi293	ymolchon ni
294cysylltu294	cysylltith o
295lleoli295	lleolasem
296braenu296	braenais i
297addo297	addawais i
298pydru298	pydrais
299lluddias299	lluddier
300canlyn300	canlynaswn
301lluddias301	lluddiwn
302marchogaeth302	marchogith o
303nyddu303	nydda
304meddwl304	meddyliasech
305pydru305	pydrer
306marchogaeth306	marchoga i
307caru307	carwn
308ymddwyn308	ymddygem
309siarad309	siaradom
310cenhedlu310	cenhedlych
311ymlacio311	ymlaciasom
312stopio312	stopiwn ni
313ffurfio313	ffurfiasem
314bwyta314	bwytei
315dileu315	dileai
316addysgu316	addysgasom
317bwyta317	bwytai fo
318cysylltu318	cysylltech
319rhuthro319	rhuthrwn i
320dilyn320	dilynais
321llwyddo321	llwyddais i
322cynnwys322	cynhwysan nhw
323codi323	coded
324canlyn324	canlynasai
325aros325	arosasem
326nyddu326	nyddwn i
327glawio327	glawiwch chi
328gadael328	gadawa i
329terfynu329	terfyned
330dilyn330	dilynwch
331canu331	caned
332cynnull332	cynullasem
333cyfarfod333	cyfarfyddais i
334palu334	palai fo
335casáu335	caseych
336rhodio336	rhodio
337prynu337	prynen ni
338sylwebu338	sylwebent
339gwrthod339	gwrthodir
340uno340	unit
341iro341	iredigiradwy
342gadael342	gadawsoch
343siafio343	siafiwch
344ymolchi344	ymolchaswn
345smygu345	smygont
346smygu346	smygasem
347rhodio347	rhodiech
348cofio348	cofied
349gwerthu349	gwerthodd
350atal350	ataliai
351dileu351	dileaist ti
352casáu352	casaech
353llwyddo353	llwyddech chi
354sylwebu354	sylwebych
355cyfnewid355	cyfnewidia
356disgwyl356	disgwyliais
357bwyta357	bwytewch
358ymarfer358	ymarfera
359prynu359	prynwch
360dweud360	dywedasid
361disgwyl361	disgwyliwch
362teithio362	teithioch chi
363galw363	galwen nhw
364cyfarfod364	cyfarfuost
365agor365	agoren nhw
366terfynu366	terfynasant
367teithio367	teithiwn
368gwenu368	gwenasem
369croeshoelio369	croeshoeliasem
370prynu370	prynent
371colli371	collwch
372gwylio372	gwyliasant
373diolch373	diolcher
374croeshoelio374	croeshoelia
375dileu375	dileodd
376ennill376	enillant
377rhedeg377	rhedi di
378prynu378	prynant
379bwrw379	bwried
380methu380	methodd o
381ysu381	yso
382cyffwrdd382	cyffyrddasom
383croeshoelio383	croeshoelioch
384ystyried384	ystyriech
385palu385	palych
386gorchuddio386	gorchuddiwch
387ymlacio387	ymlaciom
388cerdded388	cerddwch chi
389hudo389	hudom
390digwydd390	digwydd
391teimlo391	teimlodd
392cwyno392	cwyn
393talu393	talasant
394ffurfio394	ffurfient
395cadw395	cadwoch
396sylwi396	sylwch
397cynnull397	cynullwch
398taro398	taro
399rhwystro399	rhwystraf
400siarad400	siaradasit
401arwain401	arweiniais i
402methu402	methi di
403anfon403	anfonwyd
404torri404	torroch
405amgyffred405	amgyffredaist
406addysgu406	addysgasoch
407cerdded407	cerddasom
408cyfrwyo408	cyfrwya i
409methu409	methwch
410dilyn410	dilynai fo
411hedfan411	hedfanais i
412galw412	galwyf
413cysgu413	cysgwn
414disgwyl414	disgwyliwn ni
415sylwi415	sylwom
416cyfnewid416	cyfnewidiasent
417arfer417	arfer
418cynnwys418	cynhwyswn i
419arwain419	arweini
420teithio420	teithia
421rhegi421	rhegen nhw
422cloi422	clown i
423dodi423	dyd
424ymuno424	ymuner
425dechrau425	dechreua
426eistedd426	eisteddwn i
427aros427	arhoser
428ysbrydoli428	ysbrydolon ni
429cerdded429	cerddith o
430darlunio430	darluniwn i
431ymweld431	ymwelwn i
432casáu432	casawn
433cyrraedd433	cyrhaeddai
434cerdded434	cerddaswn
435cyfrwyo435	cyfrwyech
436galw436	galwasant
437teimlo437	teimler
438yfed438	yfer
439gweld439	gwela i
440marchogaeth440	marchogaist ti
441llosgi441	llosger
442gwario442	gwarien nhw
443colli443	collwyf
444poeni444	poenasom
445arwain445	arweiniech chi
446crynu446	crynir
447cysylltu447	cysylltasent
448croestorri448	croestorren nhw
449marchogaeth449	marchogen nhw
450edliw450	edliwiaf
451cilio451	ciliwch chi
452cynnau452	cyneuwch
453ysgrifennu453	ysgrifenasai
454lleoli454	lleolwch
455mwynhau455	mwynhawn
456tybio456	tybiont
457galluogi457	galluogid
458rhoi458	rhoesoch
459siafio459	siafiais
460siarad460	siaradai fo
461digwydd461	digwydder
462dechrau462	dechreuwch
463glawio463	glawiaist ti
464dysgu464	dysgasent
465ymlacio465	ymlaciasech
466medru466	medront
467croestorri467	croestorasid
468ystyried468	ystyriech
469terfynu469	terfynodd o
470dysgu470	dysgwch
471parhau471	parhasant
472darparu472	darparasem
473dodi473	dodi di
474iro474	irit
475amgyffred475	amgyffredasai
476darlunio476	darluniwch chi
477cynnig477	cynigioch chi
478ciledrych478	ciledrychwyd
479nyddu479	nydder
480amgyffred480	amgyffredasit
481disgyn481	disgynwn
482cyfrwyo482	cyfrwywch
483croestorri483	croestorrem
484siarad484	siaradodd o
485talu485	talwn
486bwyta486	bwytaent
487cyfrwyo487	cyfrwyer
488colli488	collaswn
489rhodio489	rhodiodd
490colli490	collwn
491ymuno491	ymuno
492gwerthu492	gwerthen ni
493codi493	codith o
494marchogaeth494	marchoger
495ysu495	ysai fo
496gafael496	gafaelai
497coginio497	coginiwn
498ymweld498	ymwelwn
499teimlo499	teimlom
500tybio500	tybiant
501caru501	câr
502gwenu502	gwenant
503gafael503	gafaelaist ti
504cynnwys504	cynhwysai
505peidio505	peidier
506rhoi506	rhoddon nhw
507cadw507	cadwch chi
508coelio508	coeliasai
509darlunio509	darluniai
510treisio510	treisien nhw
511cymryd511	cymero
512dychwelyd512	dychweler
513ennill513	enilledig
514adolygu514	adolygwn
515siarad515	siaradet ti
516dangos516	dangosasoch
517cynnig517	cynigiem
518llyfu518	llyfais
519gwenu519	gwenen ni
520golchi520	golchwch chi
521terfynu521	terfynem
522ymddwyn522	ymddygit
523anghofio523	anghofiasoch
524croeshoelio524	croeshoeliasom
525addo525	addewaist
526iro526	irwn
527talu527	talith o
528pweru528	pwerwn ni
529disgyn529	disgynid
530eistedd530	eisteddem
531amau531	amheuwn ni
532rhofio532	rhofiwn
533hedfan533	hedfanit
534rhofio534	rhofit
535dodi535	dodo
536yfed536	yfedigyfadwy
537deall537	deall
538coginio538	coginiasoch
539hedfan539	hedfanasoch
540galw540	galwi di
541condemnio541	condemniech
542rhegi542	rhego
543claddu543	claddaf
544peidio544	peidiwn ni
545defnyddio545	defnyddiais i
546amau546	amheuet ti
547rhwygo547	rhwygo
548rhegi548	rhegith o
549ymlacio549	ymlaciodd o
550uno550	unant
551difetha551	difethwch
552cusanu552	cusanan nhw
553agor553	agorwn
554coginio554	cogini
555cadw555	cadw
556ymweld556	ymwelech chi
557condemnio557	condemniom
558cysgu558	cysga i
559smygu559	smygid
560crynu560	crynwn i
561galluogi561	galluogwyf
562cadw562	cadwn
563syrthio563	syrthio
564mwynhau564	mwynheuwn i
565gwylio565	gwyliwch
566cofio566	cofiech
567teimlo567	teimlon nhw
568llanw568	llanwn
569cynnull569	cynullwn
570lleihau570	lleihaist
571cusanu571	cusana i
572prynu572	prynent
573ffurfio573	ffurfied
574edliw574	edliwi
575ymlacio575	ymlaci
576rhwystro576	rhwystrwch chi
577teimlo577	teimlasid
578annog578	anogasid
579amgyffred579	amgyffredwn
580ysu580	ysech
581clywed581	clywech
582eistedd582	eisteddaist
583ffurfio583	ffurfioch
584gweld584	gweler
585cyfarfod585	cyfarfyddent
586cysylltu586	cysylltaf
587siarad587	siarad
588dychwelyd588	dychweloch chi
589amgyffred589	amgyffredon ni
590tybio590	tybiaist
591yfed591	yfaswn
592eistedd592	eisteddet ti
593llosgi593	llosgent
594cerdded594	cerddasant
595rhofio595	rhofion nhw
596cloi596	cloan nhw
597rhoi597	rhoesid
598dilyn598	dilynwn
599prynu599	prynon nhw
600pydru600	pydrai
601palu601	palech chi
602iro602	irwch
603colli603	collont
604agor604	agoroch chi
605rhodio605	rhodiai
606canlyn606	canlyner
607elwa607	elwyf
608ysmygu608	ysmygen nhw
609ciledrych609	ciledrychasent
610teithio610	teithied
611rhwygo611	rhwyger
612gorchuddio612	gorchuddiwch chi
613croestorri613	croestorra
614darparu614	darparasit
615rhwystro615	rhwystran nhw
616prynu616	prynwch
617golchi617	golchwn
618lleihau618	lleihwyd
619golchi619	golchent
620achosi620	achoswch
621darllen621	darllenid
622disgwyl622	disgwyl
623digwydd623	digwyddech chi
624ymlacio624	ymlacia
625cynnull625	cynullo
626codi626	codech
627diolch627	diolchasant
628cynnull628	cynullasai
629yfed629	yfa
630amau630	amheuwch chi
631darlunio631	darlunier
632pydru632	pydra
633digwydd633	digwyddi di
634hoelio634	hoeliasoch
635parhau635	parhaont
636deall636	deallwch
637treisio637	treisiodd o
638teithio638	teithiaist
639llyfu639	llyfasai
640teithio640	teithiaist ti
641cloi641	cloeswn
642cyfieithu642	cyfieithi di
643treisio643	treisiasem
644llosgi644	llosgoch
645difetha645	difethasech
646rhoi646	rhoddon ni
647anfon647	anfonech
648cwyno648	cwynwch
649tybio649	tybient
650siafio650	siafiwyd
651golchi651	golchych
652canoli652	canola i
653methu653	methit
654dychwelyd654	dychwelasai
655cynnull655	cynullir
656sylwi656	sylwai fo
657yfed657	yfith o
658cyrraedd658	cyrhaeddwch
659caru659	carasom
660cynnull660	cynulli
661darllen661	darllenir
662mwynhau662	mwynheuen ni
663ysu663	ysi di
664galluogi664	galluogem
665amgyffred665	amgyffredit
666tybio666	tybier
667cymryd667	cymered
668cynnwys668	cynhwysoch chi
669teithio669	teithion nhw
670cerdded670	cerddasoch
671cynnwys671	cynhwysit
672cadw672	cadwer
673difetha673	difethan nhw
674llyfu674	llyfent
675stopio675	stopiodd
676siafio676	siafiasem
677digwydd677	digwyddais i
678treisio678	treisiasit
679ystyried679	ystyried
680llyfu680	llyfwch
681dechrau681	dechreuoch chi
682canu682	canoch
683ymarfer683	ymarferen nhw
684cofio684	cofion nhw
685methu685	methir
686rhofio686	rhofiech
687gwenu687	gwenon nhw
688mynd688	ewch
689diolch689	diolchent
690condemnio690	condemniais i
691arfer691	arferwch
692pasio692	pasiwch chi
693amau693	amheuai fo
694uno694	unet ti
695addo695	addewch
696ysbrydoli696	ysbrydolasai
697llosgi697	llosgasid
698rhuthro698	rhuthrasai
699gafael699	gafaelon nhw
700siafio700	siafiwch
701cynnau701	cyneui di
702gwylio702	gwyliwn
703cynnull703	cynullant
704lladd704	lladded
705ymarfer705	ymarfered
706niweidio706	niweidiasent
707lladd707	lladdwn
708gwrthod708	gwrthodom
709coelio709	coelit
710dathlu710	dathlan nhw
711peidio711	peidiwn
712dweud712	dywedant
713gadael713	gadawant
714crynu714	crynont
715pydru715	pydred
716cyrraedd716	cyrhaeddet ti
717gwlychu717	gwlychir
718gorffen718	gorffennech chi
719talu719	telaist
720cilio720	cilir
721defnyddio721	defnyddiais
722ffili722	ffilasent
723lleoli723	lleoler
724stopio724	stopia
725stopio725	stopiet ti
726nyddu726	nyddasit
727meddwl727	meddylier
728dilyn728	dilynwn
729atal729	atalwn ni
730gwerthu730	gwerthon nhw
731cysylltu731	cysylltaist
732cwyno732	cwynem
733galw733	galwyd
734nyddu734	nyddon ni
735ennill735	enilloch
736marchogaeth736	marchogaswn
737gwrthod737	gwrthododd
738rhedeg738	rhedon nhw
739meddwl739	meddyliwyf
740cymryd740	cymerwyf
741sylwi741	sylwon nhw
742coelio742	coeliech
743elwa743	elwodd o
744pydru744	pydron nhw
745gadael745	gadawit
746danfon746	danfonem
747defnyddio747	defnyddiet ti
748meddwl748	meddyliaist
749darlunio749	darluniom
750rhofio750	rhofir
751casáu751	casaent
752dweud752	dywedem
753sefyll753	safoch chi
754anfon754	anfonoch chi
755disgyn755	disgynasoch
756hedfan756	hedfanant
757ymlacio757	ymlaciaswn
758clywed758	clywsech
759credu759	credodd o
760danfon760	danfonasid
761sgwrsio761	sgwrsiwyf
762diolch762	diolchodd
763gafael763	gafaelaf
764rhodio764	rhodiech
765croeshoelio765	croeshoeliasai
766ysbrydoli766	ysbrydolet ti
767iro767	irasem
768loncian768	loncion ni
769cyfrwyo769	cyfrwyont
770ysu770	ysasem
771caru771	carwn i
772awgrymu772	awgrymasom
773ennill773	enillem
774colli774	collasoch
775elwa775	elwen ni
776cadw776	cadwedig
777ysbrydoli777	ysbrydolais
778amgyffred778	amgyffredid
779llosgi779	llosgwch
780gwlychu780	gwlychodd o
781difetha781	difetho
782cysylltu782	cysylltwch chi
783sylwi783	sylwa
784penderfynu784	penderfyna i
785condemnio785	condemniwyf
786cyfrwyo786	cyfrwyaf
787clywed787	clywsom
788claddu788	claddwch chi
789cynnwys789	cynhwysont
790defnyddio790	defnyddient
791cloi791	cloir
792diolch792	diolchwyd
793stopio793	stopia i
794lleihau794	lleiasom
795ffili795	ffilen ni
796gwlychu796	gwlychwyd
797talu797	talon nhw
798crynu798	crynen ni
799eistedd799	eisteddasant
800niweidio800	niweidien ni
801defnyddio801	defnyddiodd o
802mwynhau802	mwynheua i
803plannu803	plannaf
804cnuchio804	cnuchiodd o
805lluddias805	lluddiech
806gwylio806	gwylion nhw
807siarad807	siaradwn
808cerdded808	cerdder
809ymarfer809	ymarferi di
810galw810	galwasech
811siafio811	siafiwyf
812credu812	creden nhw
813ymlacio813	ymlaciaist ti
814lleoli814	lleolasai
815smygu815	smygai
816aros816	arhoswyf
817casáu817	casasit
818cyfarfod818	cyfarfuasid
819pydru819	pydrodd o
820cyrraedd820	cyraeddasant
821dychwelyd821	dychwelwn
822llyfu822	llyfwn
823cynnull823	cynullasit
824swyno824	swynen nhw
825digwydd825	digwyddodd o
826dangos826	dangoswn i
827cusanu827	cusanem
828ffurfio828	ffurfiasid
829hudo829	hudon nhw
830cloi830	cloesoch
831marchogaeth831	marchoga
832ysmygu832	ysmygasent
833deall833	deallasai
834ceisio834	ceisiwch
835sylwebu835	sylwebid
836cynnig836	cynigiwn
837dweud837	dywedwch
838canlyn838	canlynodd
839uno839	unwyd
840iro840	irer
841croestorri841	croestorren ni
842hoelio842	hoeliaf
843marchogaeth843	marchogoch chi
844uno844	unasem
845diolch845	diolchwch
846anghofio846	anghofioch chi
847gorffen847	gorffennodd
848cynnau848	cyneuedig
849gwenu849	gwenwn
850gorffen850	gorffenasid
851clymu851	clymi
852anfon852	anfonasech
853ymarfer853	ymarferith o
854cusanu854	cusanent
855dechrau855	dechreuwch
856cysgu856	cysgasech
857cynnig857	cynigiodd o
858gwrthod858	gwrthodwyf
859sylwebu859	sylwebaist
860swyno860	swyna i
861dweud861	dywedech chi
862elwa862	elwsoch
863darllen863	darllenasai
864llosgi864	llosgwyd
865cyfrwyo865	cyfrwyet ti
866gwlychu866	gwlychaf
867canlyn867	canlynet ti
868condemnio868	condemni di
869cilio869	ciliwn
870peidio870	peidiech chi
871cynnig871	cynigiaist ti
872clywed872	clywaist
873lleihau873	lleihais
874dweud874	dywedwyd
875cynnwys875	cynwysasent
876rhodio876	rhodiant
877addysgu877	addysgwch
878codi878	codoch chi
879danfon879	danfonais
880llosgi880	llosga
881croesholi881	croesholiet ti
882cynnwys882	cynwysaswn
883ennill883	enillwn
884siafio884	siafion nhw
885cilio885	cilied
886addo886	addewais
887medru887	medrais i
888aros888	arhosi di
889gwenu889	gwenasech
890yfed890	yfasant
891methu891	methont
892adolygu892	adolygodd
893gorffen893	gorffenna
894deall894	deallasem
895ymddwyn895	ymddyged
896crynu896	crynan nhw
897yfed897	yfon nhw
898dangos898	dangosoch chi
899lladd899	lladd
900rhuthro900	rhuthrwn ni
901croestorri901	croestorraist
902galluogi902	galluogir
903yfed903	yfi di
904colli904	collasent
905gorchuddio905	gorchuddiasid
906gwlychu906	gwlychu
907colli907	collaist
908rhodio908	rhodiedig
909llanw909	llenwych
910dodi910	dodid
911lleihau911	lleiasid
912hofran912	hofranodd o
913cymryd913	cymerwch chi
914hudo914	hudasom
915cyfrwyo915	cyfrwywn
916amau916	ameuasit
917rhwygo917	rhwygais i
918crynu918	crynem
919bwyta919	bwyteych
920ymuno920	ymunwn
921agor921	agoraist
922llenydda922	llenyddid
923amau923	ameuaswn
924cyffwrdd924	cyffyrddaswn
925ymweld925	ymwelasent
926swyno926	swynasent
927iro927	ira
928cysylltu928	cysylltont
929meddwl929	meddyliwyd
930deall930	deallid
931ciledrych931	ciledrychwn i
932amgyffred932	amgyffredasid
933loncian933	lonciedig
934defnyddio934	defnyddiaf
935taro935	trewi
936bwrw936	bwri
937pasio937	pasiwch
938talu938	talodd
939plannu939	plannwn
940condemnio940	condemnier
941gorffen941	gorffenasai
942croeshoelio942	croeshoeliai fo
943darlunio943	darlunion nhw
944gwylio944	gwylied
945rhodio945	rhodiasech
946rhedeg946	rhedai
947loncian947	loncit
948ysbrydoli948	ysbrydolon nhw
949cusanu949	cusenid
950rhwystro950	rhwystrer
951uno951	unodd o
952gwerthu952	gwerthwch
953clywed953	clywaf
954marchogaeth954	marchogom
955pwyso955	pwysa
956torri956	torra
957dychwelyd957	dychwelech chi
958deall958	deallaist
959rhuthro959	rhuthron nhw
960mwynhau960	mwynhasom
961cofio961	cofiaswn
962ysu962	ysent
963smygu963	smygon nhw
964dychwelyd964	dychwelai fo
965nyddu965	nyddi
966cenhedlu966	cenhedla
967defnyddio967	defnyddi di
968llosgi968	llosgem
969cysylltu969	cysylltit
970croesholi970	croesholer
971gwylio971	gwylia
972cynnig972	cynigiont
973hofran973	hofranith o
974pydru974	pydraswn
975iro975	iraswn
976cenhedlu976	cenhedla
977anfon977	anfonent
978clywed978	clywch
979terfynu979	terfynasoch
980dathlu980	dathlwch
981digwydd981	digwyddwch chi
982cyrraedd982	cyraeddasent
983prynu983	pryna i
984addo984	addawodd o
985rhwystro985	rhwystrasai
986cloi986	clôm
987ysmygu987	ysmygedig
988ysbrydoli988	ysbrydolant
989llwyddo989	llwyddet ti
990ysmygu990	ysmygwn
991rhedeg991	rhedan nhw
992sefyll992	safasech
993dilyn993	dilynwn
994ysbrydoli994	ysbrydoloch chi
995clymu995	clymai fo
996nyddu996	nyddwyf
997lleihau997	lleihid
998llanw998	llanwont
999ysu999	ysai
1000lleoli1000	lleolom
1001tacluso1001	taclusodd
1002teithio1002	teithiais i
1003cusanu1003	cusanwn ni
1004cysgu1004	cysgwch
1005adolygu1005	adolygon nhw
1006coginio1006	coginiwn i
1007ysbrydoli1007	ysbrydolwn
1008canu1008	canech chi
1009sylwebu1009	sylweban nhw
1010ystyried1010	ystyriaf
1011mwynhau1011	mwynhaont
1012cadw1012	cadwn ni
1013cynnig1013	cynigiasant
1014dodi1014	doden nhw
1015dileu1015	dilewn
1016agor1016	agoredig
1017cynnwys1017	cynhwysaist
1018gallu1018	gellych
1019croeshoelio1019	croeshoelier
1020ciledrych1020	ciledrychaist ti
1021siarad1021	siaredais
1022golchi1022	golchid
1023teimlo1023	teimlaist ti
1024siafio1024	siafiwn
1025deall1025	deallai
1026adolygu1026	adolygaswn
1027galw1027	galwant
1028diolch1028	diolchais
1029casáu1029	casâ
1030llosgi1030	llosgwn i
1031amgyffred1031	amgyffredoch chi
1032ysbrydoli1032	ysbrydolasoch
1033marchogaeth1033	marchogai fo
1034sylwebu1034	sylwebi di
1035meddwl1035	meddyliaist ti
1036braenu1036	braenwn
1037clywed1037	clywch chi
1038eistedd1038	eisteddid
1039gofyn1039	gofyn
1040pasio1040	pasia
1041uno1041	uni
1042cymryd1042	cymerasai
1043glawio1043	glawi di
1044dysgu1044	dysgwyd
1045dathlu1045	dathlaist ti
1046croesi1046	croesiai
1047deall1047	deallen nhw
1048canlyn1048	canlyni
1049cyfrwyo1049	cyfrwyon ni
1050sylwi1050	sylwsem
1051llosgi1051	llosgedig
1052croesholi1052	croesholedig
1053marchogaeth1053	marchogais
1054gafael1054	gafaelasom
1055sylwebu1055	sylwebon nhw
1056galw1056	galwasem
1057rhuthro1057	rhuthren nhw
1058elwa1058	elwa i
1059smygu1059	smygen ni
1060disgyn1060	disgynan nhw
1061addo1061	addawech chi
1062elwa1062	elwn
1063yfed1063	yfais i
1064ymarfer1064	ymarferem
1065gwrthod1065	gwrthodwn
1066ymuno1066	ymuner
1067darparu1067	darparen ni
1068dileu1068	dileent
1069smygu1069	smygoch
1070ceisio1070	ceisiodd
1071hudo1071	hudith o
1072methu1072	methwch chi
1073cysgu1073	cysgaf
1074stopio1074	stopiwyf
1075cuddio1075	cuddent
1076gallu1076	gallont
1077disgwyl1077	disgwyliaf
1078cysylltu1078	cysylltwch
1079colli1079	collwn ni
1080bwrw1080	bwriasant
1081cynnwys1081	cynhwysen nhw
1082peidio1082	peidioch chi
1083achosi1083	achosai fo
1084dodi1084	dodech
1085lleoli1085	lleolaist ti
1086adwthio1086	adwthiwch
1087pydru1087	pydraist
1088dangos1088	dangosai fo
1089elwa1089	elwech
1090cymryd1090	cymeront
1091gwerthu1091	gwerther
1092llyfu1092	llyfasech
1093gallu1093	galla i
1094amnewid1094	amnewidai fo
1095llosgi1095	llosgasem
1096pydru1096	pydraist ti
1097dileu1097	dileasit
1098hoelio1098	hoeliem
1099dilyn1099	dilynit
1100medru1100	medri di
1101coginio1101	coginiwn
1102marchogaeth1102	marchogodd o
1103sgwrsio1103	sgwrsiaist ti
1104mynd1104	aethent
1105ysbrydoli1105	ysbrydolwch
1106ceisio1106	ceisia
1107bwrw1107	bwrion ni
1108rhuthro1108	rhuthrasit
1109croesi1109	croesir
1110gwerthu1110	gwerthasoch
1111rhedeg1111	rhedai fo
1112meddwl1112	meddyliasent
1113cuddio1113	cuddasoch
1114croesi1114	croesier
1115pydru1115	pydrwch chi
1116annog1116	anogasem
1117loncian1117	loncian nhw
1118meddwl1118	meddyliasai
1119lladd1119	lladdodd
1120croestorri1120	croestorrai fo
1121ymddwyn1121	ymddygaist ti
1122pweru1122	pwera i
1123dangos1123	dangoswn
1124yfed1124	yfwn
1125arwain1125	arweinioch
